id,name,util,f0,v3_failed,v3_base,f_guided,delta_guided,delta_random,improvement,demote,promote
89,sys_89,0.9045454545454547,2756.6794594669063,False,2472.42479962653,2701.1727460580473,-55.506713408859014,-60.64919142348517,-5.142478014626157,task1_3,task1_1
90,sys_90,0.9090909090909088,3536.564626722078,False,-3696.567604953347,4095.926375057657,559.3617483355788,321.10590121400486,-238.25584712157394,task0_3,task0_1
91,sys_91,0.9136363636363636,1960.987917272984,False,-382.18566436466426,1960.987917272984,0.0,88.15624255911493,88.15624255911493,task1_1,task1_0
92,sys_92,0.9181818181818183,2484.9440605346103,False,1634.9909194004758,3527.628302382036,1042.6842418474257,36.94338482589101,-1005.7408570215347,task2_3,task0_1
93,sys_93,0.9227272727272727,1992.6290593540555,False,638.6294737616076,1569.922920081559,-422.70613927249656,329.214574269628,751.9207135421245,task2_2,task0_1
94,sys_94,0.9272727272727272,2234.9326859332714,False,893756.0349077856,3383.8455016444427,1148.9128157111713,640.7958378797642,-508.1169778314071,task0_3,task1_0
95,sys_95,0.9318181818181817,1145.5700698556855,False,1410.3349332497028,1145.5700698556855,0.0,111.3611378387598,111.3611378387598,task2_2,task2_0
96,sys_96,0.9363636363636362,3032.602760763557,False,-726.7257064553077,3195.7078717556983,163.10511099214136,-237.5161240868377,-400.62123507897905,task0_3,task0_1
97,sys_97,0.9409090909090909,1369.234175631397,False,1093.3068566181585,1369.234175631397,0.0,59.366172766445835,59.366172766445835,task1_2,task2_0
98,sys_98,0.9454545454545453,1469.14161199578,False,2348.6989211740547,1900.1947834830862,431.05317148730614,127.57441626988798,-303.47875521741815,task1_2,task2_0
99,sys_99,0.9500000000000001,1715.0638407458391,False,702.3973416047002,1798.0235105357826,82.95966978994352,160.92833540631923,77.96866561637572,task2_3,task2_1
